Facility Type,Facility Number,FAC_N2,FAC_ID_Z,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Latitude,Longitude,WUICLASS10,HAZ_CLASS,Risk,Duplicate address
RESIDENTIAL CARE ELDERLY,306005600,306005600,CA306005600,COUNTRY GARDENS TERRACE,RETIREMENT LIVING FOR SENIORS INC,"DIZON, BENJIE",(714) 557-0515,1103 SALVADOR STREET,COSTA MESA,CA,92626,ORANGE,22,6,LICENSED,6/20/2019,,33.674587,-117.903809,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306000485,306000485,CA306000485,COUNTRY GARDENS TERRACE IV,"COUNTRY GARDENS TERRACE, INC.",VALERIE J TURNEY,(714) 557-0515,1103 SALVADOR,COSTA MESA,CA,92626,ORANGE,22,6,CLOSED,11/22/1996,6/20/2019,33.674587,-117.903809,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,57002735,57002735,CA057002735,COUNTRY HAVEN ASSISTED LIVING,"COUNTRY HAVEN, INCORPORATED",KENNETH KELLEY,(209) 754-4751,556 TOYON DRIVE,SAN ANDREAS,CA,95249,CALAVERAS,27,26,CLOSED,12/1/2004,5/17/2018,38.188593,-120.673585,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,52700351,52700351,CA052700351,COUNTRY HAVEN ASSISTED LIVING,"HURLEY, JACK C","HURLEY, JACK C",(999) 999-9999,556 TOYON DR,SAN ANDREAS,CA,95249,CALAVERAS,27,26,CLOSED,4/6/2018,4/30/2018,38.188593,-120.673585,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,45001608,45001608,CA045001608,COUNTRY HEARTS,"COUNTRY HEARTS RESIDENTIAL CARE HOME, INC.","LEONARD, CAROL",(530) 589-2466,7170 LOWER WYANDOTTE RD.,OROVILLE,CA,95966,BUTTE,25,15,LICENSED,8/31/2004,,39.458159,-121.487985,Low_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197608400,197608400,CA197608400,COUNTRY HOME ALCOVE RESIDENTIAL CARE,"LOLITA'S HOMES, INC.",MARIA D. PIPER/HELM SICAT,(818) 841-1115,7645 ALCOVE AVENUE,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,31,6,LICENSED,11/6/2012,,34.209591,-118.413483,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,191222729,191222729,CA191222729,COUNTRY HOME IV,LOLITA'S HOMES INC.,"SICAT, LOLITA",(818) 982-6865,7651 ALCOVE AVENUE,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,31,6,LICENSED,12/16/1993,,34.20975,-118.413476,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,45002701,45002701,CA045002701,COUNTRY HOUSE,BIDWELL SENIOR CARE SERVICES INC,"DORENZO, LYNETTE",(530) 342-7002,966 KOVAK CT,CHICO,CA,95973,BUTTE,25,20,CLOSED,,3/22/2019,39.771236,-121.8417,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,41370643,41370643,CA041370643,COUNTRY HOUSE,BIDWELL SENIOR CARE SERVICES,"SKAGGS, DANIEL",(530) 342-7002,966 KOVAK COURT,CHICO,CA,95973,BUTTE,25,20,LICENSED,10/16/1985,,39.771236,-121.8417,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,286800367,286800367,CA286800367,COUNTRY INN,"COUNTRY INN RETIREMENT HOME, INC.","MACARAIG, ROLANDO",(707) 252-3392,1109-B LA GRANDE AVENUE,NAPA,CA,94558,NAPA,21,29,LICENSED,2/4/1997,,38.334515,-122.247881,Low_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197803745,197803745,CA197803745,COUNTRY INN OF DOWNEY,"MILOGA ENTERPRISES, INC.",ANA YESENIA GIRON,(562) 869-2401,11111 MYRTLE ST.,DOWNEY,CA,90241,LOS ANGELES,28,150,LICENSED,1/22/2002,,33.942824,-118.136465,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,557000363,557000363,CA557000363,COUNTRY LANE ESTATE,"RAE-ELLEN, INC.","WRIGHT, KARLA",(209) 536-9956,22008 SAWMILL FLAT ROAD,SONORA,CA,95370,TUOLUMNE,27,6,CLOSED,8/28/1995,11/1/2015,38.023201,-120.382738,Med_Dens_Intermix,Very High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,405800509,405800509,CA405800509,COUNTRY LIVIN SENIOR HOME,"WILLISON, DOMINIC & LAURA",NICK AND LAURA WILLISON,(805) 461-5306,4930 SYCAMORE ROAD,ATASCADERO,CA,93422,SAN LUIS OBISPO,29,8,LICENSED,12/16/1999,,35.503886,-120.663543,Med_Dens_Interface,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,155801217,155801217,CA155801217,COUNTRY LIVING,FSH FISHER LLC,DARLENE FERGUSON,(661) 822-6457,22371 BANDUCCI ROAD,TEHACHAPI,CA,93561,KERN,24,10,CLOSED,1/7/2005,11/2/2016,35.102599,-118.528739,Med_Dens_Intermix,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,347005124,347005124,CA347005124,COUNTRY MANSION,ZCC. INC.,"CENDANA, ZOILO",(916) 689-5456,8920 CASELMAN ROAD,SACRAMENTO,CA,95829,SACRAMENTO,27,6,LICENSED,10/4/2013,,38.472237,-121.371049,Med_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,317001604,317001604,CA317001604,COUNTRY OAKS MANOR,NAOMI L. MYERS AND ROBERT V. MYERS,"MYERS, NAOMI",(530) 885-8154,11240 SCOFIELD WAY,AUBURN,CA,95603,PLACER,27,6,CLOSED,7/25/2001,6/11/2019,38.928007,-121.105995,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,347002045,347002045,CA347002045,COUNTRY OAKS MANOR,"MOLITVENIK, ALEX",ALEKSANDER MOLITVENIK,(916) 517-9597,7595 LINDEN AVENUE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,6,LICENSED,11/7/2003,,38.720958,-121.286194,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,397002983,397002983,CA397002983,COUNTRY PALMS CARE HOME,"TRIPLETT, JOSEPH J.","TRIPLETT, JOSEPH J.",(209) 462-1135,2905 BRISTOL AVENUE,STOCKTON,CA,95204,SAN JOAQUIN,27,6,LICENSED,11/17/2004,,37.965358,-121.342289,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,75601547,75601547,CA075601547,COUNTRY PLACE ASSISTED LIVING,"ANTIOCH MGT, LLC","RICHARDSON, SHERRY",(925) 778-5000,1715 OLIVE LANE,ANTIOCH,CA,94509,CONTRA COSTA,15,49,LICENSED,12/28/2011,,38.005805,-121.791698,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496803588,496803588,CA496803588,COUNTRY ROSE ASSISTED LIVING,COUNTRY ROSE ASSISTED LIVING INCORPORATED,"ARCHER, LEAH",(707) 495-0801,2273 WEST HEARN AVENUE,SANTA ROSA,CA,95407,SONOMA,21,3,LICENSED,3/11/2016,,38.410469,-122.749114,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374604115,374604115,CA374604115,COUNTRY ROSE ESTATE MEMORY CARE,"PARAISO, CATHERINE T","PARAISO, CATHERINE T",(760) 738-9391,1255 ADVENTURE LN,SAN MARCOS,CA,92069,SAN DIEGO,8,15,LICENSED,1/11/2019,,33.146405,-117.131158,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,207206551,207206551,CA207206551,COUNTRY ROSE GUEST HOME,"COUNTRY ROSE SENIOR CARE, INC.","INGWABA, DRONA",(559) 641-6471,34254 JENNIFER LANE,COARSEGOLD,CA,93614,MADERA,24,12,CLOSED,12/20/2012,10/31/2017,37.245829,-119.729303,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,315001845,315001845,CA315001845,COUNTRY SIDE HOME CARE,"DANCO, VIO",DAMARIS BIANCA DANCO,(916) 788-8228,2255 CENTRAL AVENUE,ROSEVILLE,CA,95747,PLACER,27,6,LICENSED,3/23/2007,,38.748677,-121.323073,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,435202485,435202485,CA435202485,COUNTRY STYLE LIVING,"VILLA EYANNA, LLC",NORA DENNIS,(408) 260-2844,2231 SUTTER AVENUE,SANTA CLARA,CA,95050,SANTA CLARA,26,6,LICENSED,12/22/2014,,37.329435,-121.959169,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198603183,198603183,CA198603183,COUNTRY VIEW ASSISTED LIVING,"EMES MANAGEMENT, INC.","ALBA, HELEN",(323) 309-2026,824 W. CAMERON AVE,W. COVINA,CA,91790,LOS ANGELES,28,136,LICENSED,7/2/2019,,34.061829,-117.933087,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198602062,198602062,CA198602062,COUNTRY VIEW RETIREMENT HOME,"ROSIE ANTHONY CARE MANAGEMENT, INC.",ROSA T. MILLAN,(626) 962-3511,824 WEST CAMERON AVENUE,WEST COVINA,CA,91790,LOS ANGELES,28,136,CLOSED,9/12/2015,7/1/2019,34.061829,-117.933087,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,191592079,191592079,CA191592079,COUNTRY VIEW RETIREMENT HOME,"SHERATON VILLA RETIREMENT HOME, INC.&ROSIE ANTHONY",ELI GOLDMAN,(626) 962-3511,824 W. CAMERON AVE.,WEST COVINA,CA,91790,LOS ANGELES,28,136,CLOSED,10/13/1988,9/12/2015,34.061829,-117.933087,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198201010,198201010,CA198201010,COUNTRY VILLA TERRACE ASSISTED LIVING CENTER,"COUNTRY VILLA SERVICE CORP GP, COUNTRY VILLA E LP","PADAMA, ANTHONY",(323) 653-5565,6050 W PICO BLVD,LOS ANGELES,CA,90035,LOS ANGELES,28,136,LICENSED,10/4/1996,,34.052471,-118.37241,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,486803035,486803035,CA486803035,COUNTRY VILLAGE CARE,"SOBERANO, ELIZABETH","SOBERANO, ELIZABETH",(707) 447-2988,2002 CALIFORNIA DRIVE,VACAVILLE,CA,95687,SOLANO,21,6,CLOSED,1/7/2009,7/24/2018,38.333058,-121.970194,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,486803328,486803328,CA486803328,COUNTRYSIDE GARDENS HOME CARE,"YOUNG, YEH O","YOUNG, YEH O",(707) 451-7698,5035 VICTOR LANE,VACAVILLE,CA,95687,SOLANO,21,6,CLOSED,5/10/2011,3/15/2019,38.410776,-121.932046,Low_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197803504,197803504,CA197803504,COUNTRYSIDE VILLA,"AMERICAN CARE CONCEPTS, CORP.","BARRIENTOS, LOIDA",(626) 963-6366,1640 S. GLENDORA,GLENDORA,CA,91740,LOS ANGELES,28,6,CLOSED,3/8/2001,6/12/2017,34.108645,-117.863504,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198205250,198205250,CA198205250,COURT YARD ESTATES,OCEAN VIEW RESIDENCE INC.,DIMITRI ZAFIRIS,(310) 392-9196,27104 FOND DU LAC ROAD,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,11,6,CLOSED,6/18/2007,11/18/2019,33.778434,-118.374798,High_Dens_NoVeg,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,342700077,342700077,CA342700077,"COURTE AT CITRUS HEIGHTS, THE",CITRUS HEIGHTS MEMORY CARE DEV; SUNRISE OAKS MC PR,"ADEN, OLIVER",(916) 721-0644,6825 SUNRISE BLVD,CITRUS HEIGHTS,CA,95610,SACRAMENTO,27,48,LICENSED,11/23/2016,,38.690771,-121.272442,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,486803091,486803091,CA486803091,COURTSIDE COTTAGES OF VACAVILLE,VACAVILLE SENIOR LIVING; NORTSTAR SENIOR LIVING,STEVEN MATTINGLY,(707) 449-1350,431 NUT TREE RD,VACAVILLE,CA,95687,SOLANO,21,75,CLOSED,1/30/2009,12/6/2016,38.363374,-121.953972,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,45000700,45000700,CA045000700,"COURTYARD AT LITTLE CHICO CREEK, THE",COURTYARD AT LITTLE CHICO CREEK/HIGNELL & HIGNELL,"MORALES, MELISSA",(530) 342-0707,1770 HUMBOLDT ROAD,CHICO,CA,95928,BUTTE,25,49,LICENSED,1/15/1999,,39.737647,-121.810493,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,397004515,397004515,CA397004515,"COURTYARD AT RIO LAS PALMAS, THE",FIVE STAR RIO LAS PALMAS LLC; SNH CAL TENANT LLC,LIZETH GUERRERO,(209) 957-4711,877 EAST MARCH LANE,STOCKTON,CA,95207,SAN JOAQUIN,27,80,CLOSED,5/7/2010,1/16/2020,38.001879,-121.295588,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,392700640,392700640,CA392700640,"COURTYARD AT RIO LAS PALMAS, THE","SNH CAL TENANT LLC FVE MANAGERS, INC","GUERRERO, LIZETH",(209) 957-4711,877 EAST MARCH LANE,STOCKTON,CA,95207,SAN JOAQUIN,27,80,LICENSED,1/16/2020,,38.001879,-121.295588,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,126803275,126803275,CA126803275,COURTYARD COMMUNITY,"CRESTWOOD BEHAVIORAL HEALTH, INC.","DUSI, NANNETTE",(707) 442-5721,2370 BUHNE STREET,EUREKA,CA,95501,HUMBOLDT,21,14,CLOSED,9/16/2010,7/28/2017,40.785402,-124.141477,Uninhabited_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197603560,197603560,CA197603560,COURTYARD PLAZA,"PLAZA RESIDENTIAL ENTERPRISES, INC.",EVELINA PAPAZYAN,(818) 780-5005,6951 LENNOX AVENUE,VAN NUYS,CA,91405,LOS ANGELES,31,195,LICENSED,12/14/2001,,34.197148,-118.445447,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,342700127,342700127,CA342700127,COURTYARD TERRACE,CREATIVE SOLUTIONS IN ELDER CARE LLC,"JAMES, LORI",(916) 570-3134,2554 VERNACCIA CIRCLE,RANCHO CORDOVA,CA,95670,SACRAMENTO,27,6,CLOSED,,2/20/2018,38.597943,-121.297157,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,347001078,347001078,CA347001078,COURTYARD TERRACE,"CIMINO CARE MANGEMENT, INC.",MAGDA LUIS,(916) 486-1281,3408 ALTA ARDEN EXPRESSWAY,SACRAMENTO,CA,95825,SACRAMENTO,27,40,LICENSED,8/17/1998,,38.598541,-121.384108,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,75601529,75601529,CA075601529,COURTYARDS AT PINE CREEK,KA-2 ASSOCIATES LLC; NORTHSTAR SENIOR LIVING INC,"LEE, ANDREW",(925) 798-3900,1081 MOHR LN,CONCORD,CA,94518,CONTRA COSTA,15,115,CLOSED,12/14/2010,1/11/2018,37.945761,-122.04849,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,515000683,515000683,CA515000683,"COURTYARD, THE",UNITED COM-SERVE FREMONT-RIDEOUT HEALTH GROUP,"PICKARD, CAROL",(530) 790-3050,1240 WILLIAMS WAY,YUBA CITY,CA,95991,SUTTER,25,80,LICENSED,1/1/1999,,39.149945,-121.632482,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,336423815,336423815,CA336423815,COVE HOME CARE,EVANGELINA D. CHIDESTER,EVANGELINA D. CHIDESTER,(951) 652-6931,4530 COVE STREET,HEMET,CA,92545,RIVERSIDE,18,6,CLOSED,4/20/2009,4/9/2015,33.714728,-117.019246,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197608145,197608145,CA197608145,COVELLO MANOR,"HOPE RESIDENTIAL COMMUNITY CARE, INC.","LOPEZ, DAVID",(818) 514-2132,18807 COVELLO STREET,RESEDA,CA,91335,LOS ANGELES,31,6,LICENSED,5/12/2011,,34.207612,-118.542943,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,197609474,197609474,CA197609474,COVELLO SENIOR HOME,COVELLO SENIOR HOME INC,"PANIZALES, JOEVAN",(818) 918-1112,22331 COVELLO STREET,CANOGA PARK,CA,91303,LOS ANGELES,31,6,CLOSED,12/15/2017,4/2/2019,34.207534,-118.613459,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197609928,197609928,CA197609928,COVELLO TOP NOTCH CARE LLC,COVELLO TOP NOTCH CARE LLC,"LOPEZ, DAVID",(818) 270-7260,18807 COVELLO STREET,RESEDA,CA,91335,LOS ANGELES,31,6,PENDING,,,34.207612,-118.542943,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RESIDENTIAL CARE ELDERLY,198600188,198600188,CA198600188,"COVENANT ASSISTED LIVING, II","COVENANT ASSISTED LIVING, INC.",JOSEPHINE SAMPAY,(626) 826-8636,1035 S. NOVARRO ST.,WEST COVINA,CA,91791,LOS ANGELES,28,6,CLOSED,4/8/2003,4/1/2015,34.056112,-117.896464,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,197606253,197606253,CA197606253,"COVENANT ASSISTED LIVING, III","CONVENANT ASSISTED LIVING, INC.",LINDA SHIAH,(626) 826-8636,17060 E. ROYAL VIEW ROAD,HACIENDA HEIGHTS,CA,91745,LOS ANGELES,28,6,CLOSED,10/14/2005,7/15/2016,33.986684,-117.937164,High_Dens_NoVeg,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,336425571,336425571,CA336425571,COVENANT CARE,COVENANT SENIOR CARE LLC,LISA ZIOMEK,(760) 636-3080,79205 SHADOW TRAIL,LA QUINTA,CA,92253,RIVERSIDE,18,6,CLOSED,6/11/2012,12/6/2018,33.700271,-116.282475,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,507000306,507000306,CA507000306,COVENANT CARE-TURLOCK RESIDENTIAL,"COVENANT CARE CALIFORNIA, INC.",RUTH VILLARREAL,(209) 667-8409,1101 E. TUOLUMNE ROAD,TURLOCK,CA,95380,STANISLAUS,27,49,LICENSED,7/6/1995,,37.515301,-120.837196,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,157203253,157203253,CA157203253,COVENANT GUEST HOME,"DEL VALLE, ELSIE","DEL VALLE, ELSIE",(661) 871-8172,2626 KAIBAB AVENUE,BAKERSFIELD,CA,93306,KERN,24,6,LICENSED,11/23/2005,,35.40441,-118.96323,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,385600429,385600429,CA385600429,COVENTRY PLACE,COVENTRY SUBTENANT LP SRG PACIFIC MGMT LLC,MARK NITSCHE,(415) 921-1552,1550 SUTTER STREET,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,210,LICENSED,2/2/2018,,37.787252,-122.425939,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,198601825,198601825,CA198601825,COVINA HILLS HOMES,"HOLLY SERVICES, INC.",YOSHIKO NAKAJIMA,(626) 858-1873,2152 S. BUENOS AIRES DRIVE,COVINA,CA,91724,LOS ANGELES,28,6,CLOSED,8/26/2014,1/31/2017,34.058034,-117.856391,Med_Dens_Intermix,High,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197802044,197802044,CA197802044,COVINA RESIDENTIAL CARE,"UNSON,JOSE & CELERIDAD, HEIDI",HEIDI CELERIDAD,(626) 339-9890,1014 W. BADILLO STREET,COVINA,CA,91722,LOS ANGELES,28,4,CLOSED,4/14/1998,4/24/2018,34.086027,-117.910424,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306001926,306001926,CA306001926,COWAN HEIGHTS HOME CARE,ELENA  & IOAN COCA,ELENA COCA,(714) 538-5219,19080 SMILEY DR.,ORANGE,CA,92869,ORANGE,22,6,LICENSED,10/30/2003,,33.785365,-117.799605,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306004060,306004060,CA306004060,COYOTE HILLS RESIDENTIAL CARE,"SFERDIAN, MIKE",MIKE SFERDIAN,(714) 690-8000,8271 COUNTRY CLUB DRIVE,BUENA PARK,CA,90621,ORANGE,22,6,LICENSED,6/26/2009,,33.884187,-117.988508,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,374603470,374603470,CA374603470,COZY COVE - A HOME FOR THE ELDERLY,IMEE AND OSSY LLC,IMEE BENEBICE,(858) 433-7822,9431 REAGAN RD,SAN DIEGO,CA,92126,SAN DIEGO,8,6,LICENSED,12/20/2013,,32.916228,-117.149721,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197609790,197609790,CA197609790,COZY ELDERLY CARE INC,COZY ELDERLY CARE INC,"ADZEMIAN, VARDAN",(323) 348-8522,10108 COZYCROFT AVE,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,8/13/2019,,34.253933,-118.581831,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,79200565,79200565,CA079200565,COZY FAMILY CARE,N&R CARE LLC,"JI, RUI",(510) 327-4408,2135 LUPINE ROAD,HERCULES,CA,94547,CONTRA COSTA,15,6,LICENSED,2/23/2017,,38.003677,-122.246924,Med_Dens_Interface,High,Risky,Duplicate address
RESIDENTIAL CARE ELDERLY,374602867,374602867,CA374602867,COZY HOME AND CARE,COZY HOME AND CARE,"ZIEBA, ANNA",(760) 509-4658,498 HUFF ST,VISTA,CA,92083,SAN DIEGO,8,6,CLOSED,7/14/2009,2/8/2019,33.196158,-117.276758,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,347003825,347003825,CA347003825,COZY HOME CARE,SOMORJAI ANGELINA,SOMORJAI,(916) 283-4142,5643 CLARK AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,10/18/2007,,38.615653,-121.332378,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,455002680,455002680,CA455002680,COZY MANOR,"DAVIS, GEMMA","DAVIS, GEMMA",(530) 917-2541,3399 BARDICK RD,ANDERSON,CA,96007,SHASTA,25,6,LICENSED,11/28/2018,,40.468791,-122.289293,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,385600053,385600053,CA385600053,CPMC-IRENE SWINDELLS ALZHEIMER'S RES. CARE PROGRAM,SUTTER BAY HOSPITALS,"SARISON, ROBERT",(415) 600-6392,"3698 CALIFORNIA ST., STE. 3711",SAN FRANCISCO,CA,94118,SAN FRANCISCO,14,25,CLOSED,3/28/1997,7/11/2018,37.786753,-122.454672,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,306003783,306003783,CA306003783,CRANBROOK OF TUSTIN,"CRANBROOK-TUSTIN MNGR,LLC & INTEGRAL SNR LVNG,LLC",KRISTINA WATANABE,(714) 730-5009,1262 BRYAN AVENUE,TUSTIN,CA,92780,ORANGE,22,100,CLOSED,10/31/2007,3/12/2015,33.740905,-117.813288,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,496803435,496803435,CA496803435,"CREEK WAY HOMES, INC.","CREEK WAY HOMES, INC.","CLARK, CATHERINE R.",(707) 953-7990,100 CREEK WAY,SANTA ROSA,CA,95403,SONOMA,21,6,LICENSED,7/11/2013,,38.509628,-122.76196,High_Dens_Interface,Urban Unzoned,Risky,Duplicate address
RESIDENTIAL CARE ELDERLY,315001568,315001568,CA315001568,CREEKHAVEN GARDENS,BRAD CARTER,BRAD CARTER,(530) 823-7546,4181 CREEKHAVEN ROAD,AUBURN,CA,95602,PLACER,27,6,LICENSED,1/10/2005,,38.961042,-121.120295,Med_Dens_Intermix,Moderate,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496803346,496803346,CA496803346,CREEKSIDE COTTAGE,"COMMUNITY CAREGIVERS OF SONOMA, LLC","STURGEON, KELLY J.",(707) 559-5062,621 ELY BLVD. S.,PETALUMA,CA,94954,SONOMA,21,6,LICENSED,12/6/2011,,38.252463,-122.611118,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,197607507,197607507,CA197607507,CREEKSIDE HOME CARE,LOSARE - SAYCO CORPORATION,EUFEMIA S. LOSARE,(626) 964-9805,18849 SUTTER CREEK DRIVE,WALNUT,CA,91789,LOS ANGELES,28,6,CLOSED,9/16/2008,11/10/2018,34.024772,-117.890736,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,455000226,455000226,CA455000226,CREEKSIDE MANOR,"DAVIS, LINDA","NYSTROM, CINDY",(530) 223-3097,1258 MISTLETOE LANE,REDDING,CA,96002,SHASTA,25,6,CLOSED,10/17/1995,12/20/2017,40.57879,-122.348474,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,496803441,496803441,CA496803441,CREEKSIDE PLACE,"COMMUNITY CAREGIVERS OF SONOMA, LLC","STURGEON, KELLY",(707) 559-3173,617 ELY BOULEVARD SOUTH,PETALUMA,CA,94954,SONOMA,21,6,LICENSED,8/16/2013,,38.252548,-122.611318,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RESIDENTIAL CARE ELDERLY,306002261,306002261,CA306002261,CREEKSIDE VILLA,COLDRIVER CORPORATION,"MANEA, FLORIAN",(949) 458-1426,25771 SABINA STREET,MISSION VIEJO,CA,92691,ORANGE,22,6,CLOSED,7/12/2004,7/21/2015,33.610864,-117.681592,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RESIDENTIAL CARE ELDERLY,19200521,19200521,CA019200521,CREEKVIEW ASSISTED LIVING,CREEKVIEW HC LLC; LIFE CARE SERVICES LLC (MANAGER),KELI SWALES,(925) 201-4050,2900 STONERIDGE DRIVE,PLEASANTON,CA,94588,ALAMEDA,15,136,LICENSED,1/13/2015,,37.695083,-121.855159,Uninhabited_Veg,Moderate,Risky,FALSE
