Facility Number,Visit Date,V Month,V Date,V Year,Facility Name,Address,City,Zip,County,State,Telephone,Facility Type,Section Cited,General section
15601313,3/2/2018,3,2,2018,BEGONIA RESIDENTIAL CARE HOME,34814 BEGONIA STREET,UNION CITY,94587,Alameda,CA,(510) 429-7250,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601352,3/5/2018,3,5,2018,PENNY'S GUEST HOME,1751 ALRAY DRIVE,CONCORD,94521,Contra Costa,CA,(925) 609-8313,740 - RESIDENTIAL CARE ELDERLY,87212(a)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336403796,3/13/2018,3,13,2018,MOUNTAINSIDE HOME FOR ELDERS,776 NORTH 19TH STREET,BANNING,92220,Riverside,CA,(951) 922-9260,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374600860,3/22/2018,3,22,2018,PINE VALLEY HOME CARE,1530 MONTE VISTA DRIVE,VISTA,92084,San Diego,CA,(760) 630-6381,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
370804447,3/27/2018,3,27,2018,CALUYA'S RESIDENTIAL FACILITY,2835 PLAZA BLVD.,NATIONAL CITY,91950,San Diego,CA,(619) 479-8122,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601466,3/27/2018,3,27,2018,FAIRVIEW MANOR,1530 FAIRVIEW AVENUE,BRENTWOOD,94513,Contra Costa,CA,(925) 516-2561,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601185,3/27/2018,3,27,2018,"SERRA MESA GUESTS HOME, LLC",8693 CELESTINE AVENUE,SAN DIEGO,92123,San Diego,CA,(858) 576-9701,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366424334,3/28/2018,3,28,2018,NORTH HAVEN CARE FACILITY,4091 NORTH F STREET,SAN BERNARDINO,92407,San Bernardino,CA,(909) 881-3142,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198204757,3/29/2018,3,29,2018,MADISON PLACE,22620 MADISON STREET,TORRANCE,90505,Los Angeles,CA,(310) 989-0603,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198601959,4/6/2018,4,6,2018,MOM & DAD'S HOUSE,4340 CONQUISTA AVE.,LAKEWOOD,90713,Los Angeles,CA,(562) 627-0390,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
385600393,4/7/2018,4,7,2018,"TIFFANY'S CARE HOME, INC",50 TIFFANY AVENUE,SAN FRANCISCO,94110,San Francisco,CA,(415) 285-2112,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600935,4/12/2018,4,12,2018,MONTECITO OAKMONT SENIOR LIVING,4756 CLAYTON RD,CONCORD,94521,Contra Costa,CA,(925) 203-9197,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366424334,5/4/2018,5,4,2018,NORTH HAVEN CARE FACILITY,4091 NORTH F STREET,SAN BERNARDINO,92407,San Bernardino,CA,(909) 881-3142,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601083,5/7/2018,5,7,2018,MARYMOUNT VILLA RETIREMENT CENTER,345 DAVIS STREET,SAN LEANDRO,94577,Alameda,CA,(510) 895-5007,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
410508550,5/7/2018,5,7,2018,RETIREMENT PLUS OF SAN CARLOS,612 CHESTNUT STREET,SAN CARLOS,94070,San Mateo,CA,(650) 593-4777,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601242,5/9/2018,5,9,2018,HEART & SOUL COMMUNITIES,3770 SUTER STREET,OAKLAND,94619,Alameda,CA,(510) 927-8046,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197608884,5/9/2018,5,9,2018,EVENING GRACE ASSISTED LIVING,17355 BURBANK BLVD.,ENCINO,91316,Los Angeles,CA,(818) 990-0593,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200391,5/21/2018,5,21,2018,FLORENCE SENIOR HOME,1841 FLORENCE LANE,CONCORD,94520,Contra Costa,CA,(925) 566-8062,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
45002537,5/23/2018,5,23,2018,ANGELS CARE HOME,1596 LA LINDA LANE,CHICO,95926,Butte,CA,(530) 828-5789,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366424334,6/4/2018,6,4,2018,NORTH HAVEN CARE FACILITY,4091 NORTH F STREET,SAN BERNARDINO,92407,San Bernardino,CA,(909) 881-3142,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601222,6/8/2018,6,8,2018,FAMILY RESORT REST HOME INC.,3014 EL KU AVENUE,ESCONDIDO,92025,San Diego,CA,(760) 489-0415,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004798,6/12/2018,6,12,2018,AMANA SENIOR LIVING,26232 AVENIDA CALIDAD,MISSION VIEJO,92691,Orange,CA,(949) 616-9380,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(E),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306001581,6/13/2018,6,13,2018,AMERICAN LEGEND'S HOME,25746 SANTO DRIVE,MISSION VIEJO,92691,Orange,CA,(949) 922-0640,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
507206953,6/18/2018,6,18,2018,A PRESTIGE LIVING,3208 TEHAMA CT,MODESTO,95355,Stanislaus,CA,(209) 284-0075,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002065,7/3/2018,7,3,2018,LAS PALMAS HOME CARE,116 W. LAS PALMAS DR.,FULLERTON,92835,Orange,CA,(714) 773-0055,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306003938,7/9/2018,7,9,2018,THANK YA KINDLY - LEMON HEIGHTS,11541 HIGHLAND LANE,SANTA ANA,92705,Orange,CA,(714) 417-9085,740 - RESIDENTIAL CARE ELDERLY,87212(a)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197609030,7/10/2018,7,10,2018,NEW HOPE BOARD AND CARE,19435 STRATHERN STREET,RESEDA,91335,Los Angeles,CA,(747) 237-2337,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
97002879,7/18/2018,7,18,2018,WHISPERING PINE,1666 DOWNIEVILLE COURT,EL DORADO HILLS,95762,El Dorado,CA,(916) 939-3784,740 - RESIDENTIAL CARE ELDERLY,87212(a)(b)(1)(a-e),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004583,8/1/2018,8,1,2018,AGAPE COTTAGE VI,11442 NEWPORT AVE,SANTA ANA,92705,Orange,CA,(714) 389-0327,740 - RESIDENTIAL CARE ELDERLY,87212(a)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306003832,8/6/2018,8,6,2018,GRACE'S HOME #1,13322 PROSPECT AVENUE,SANTA ANA,92705,Orange,CA,(714) 673-4573,740 - RESIDENTIAL CARE ELDERLY,87212(a)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
496802026,9/6/2018,9,6,2018,VILLA CAPRI,1397 FOUNTAINGROVE PKWY,SANTA ROSA,95403,Sonoma,CA,(707) 526-9090,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(A-F),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
496802026,9/6/2018,9,6,2018,VILLA CAPRI,1397 FOUNTAINGROVE PKWY,SANTA ROSA,95403,Sonoma,CA,(707) 526-9090,740 - RESIDENTIAL CARE ELDERLY,87212(b)(A-F),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004721,9/12/2018,9,12,2018,BROOKDALE SAN JUAN CAPISTRANO,31741 RANCHO VIEJO RD,SAN JUAN CAPISTRANO,92675,Orange,CA,(949) 248-8855,741 - RCFE-CONTINUING CARE RETIREMENT COMMUNITY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004719,10/1/2018,10,1,2018,ST. SIMON HOME II,4704 AVENIDA DE LAS FLORES,YORBA LINDA,92886,Orange,CA,(951) 545-2934,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198601868,10/4/2018,10,4,2018,VINE RESIDENCE LLC,1405 E VINE AVE,WEST COVINA,91791,Los Angeles,CA,(626) 862-7674,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
486803570,10/4/2018,10,4,2018,LOVING PLACE,2429 HANCOCK DRIVE,FAIRFIELD,94533,Solano,CA,(707) 628-4451,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(D),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004581,10/11/2018,10,11,2018,GENESIS SENIOR HOME III,129 MOUNTAIN VIEW DRIVE,TUSTIN,92780,Orange,CA,(657) 210-4454,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002658,11/19/2018,11,19,2018,BONNER HOUSE,17391 BONNER STREET,TUSTIN,92780,Orange,CA,(714) 504-7231,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600662,11/20/2018,11,20,2018,ABRAHAM REST HOME,5132 NATHALEE,CONCORD,94521,Contra Costa,CA,(925) 676-9021,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200570,11/29/2018,11,29,2018,ELLURA HOME CARE SERVICES,4348 SATINWOOD DRIVE,CONCORD,94521,Contra Costa,CA,(925) 689-2168,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004242,12/6/2018,12,6,2018,IRVINE COTTAGES NO. 9,20271 ORCHID,NEWPORT BEACH,92660,Orange,CA,(949) 533-5938,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002286,12/10/2018,12,10,2018,"R & R CARE, INC.",14952 BURNHAM CIRCLE,IRVINE,92604,Orange,CA,(949) 651-1830,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306005303,12/10/2018,12,10,2018,WOODLAWN CARE FACILITY,14101 WOODLAWN AVE,TUSTIN,92780,Orange,CA,(714) 585-6881,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306000408,12/19/2018,12,19,2018,LAKE FOREST COUNTRY HOME #2,25231 MAMMOTH CIRCLE,LAKE FOREST,92630,Orange,CA,(949) 472-3811,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1-3),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004322,12/19/2018,12,19,2018,GRACIOUS CARE HOME III,17602 AMAGANSET WAY,TUSTIN,92780,Orange,CA,(714) 368-4659,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004321,12/19/2018,12,19,2018,GRACIOUS CARE HOME II,14661 BROOKLINE WAY,TUSTIN,92780,Orange,CA,(714) 368-4627,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004321,12/19/2018,12,19,2018,GRACIOUS CARE HOME II,14661 BROOKLINE WAY,TUSTIN,92780,Orange,CA,(714) 368-4627,740 - RESIDENTIAL CARE ELDERLY,87212(g),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306000383,12/20/2018,12,20,2018,CROSSROADS ELDERLY CARE,12091 ARROYO AVE.,SANTA ANA,92705,Orange,CA,(714) 838-1330,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1-3),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600294,1/4/2019,1,4,2019,ABRAHAM'S REST HOME,1095 BANCROFT COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 945-7398,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600294,1/4/2019,1,4,2019,ABRAHAM'S REST HOME,1095 BANCROFT COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 945-7398,740 - RESIDENTIAL CARE ELDERLY,87212(a)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601557,1/4/2019,1,4,2019,ABRAHAM REST HOME,1035 BRIGHTWOOD COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 286-3576,740 - RESIDENTIAL CARE ELDERLY,87212(a)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600294,1/4/2019,1,4,2019,ABRAHAM'S REST HOME,1095 BANCROFT COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 945-7398,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004757,1/10/2019,1,10,2019,DIAMOND SENIOR CARE,13581 DIAMOND HEAD DRIVE,TUSTIN,92780,Orange,CA,(714) 508-3100,740 - RESIDENTIAL CARE ELDERLY,87212(b)(c)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004833,1/10/2019,1,10,2019,MISSION II RSL,5172 YEARLING AVENUE,IRVINE,92604,Orange,CA,(949) 357-6255,740 - RESIDENTIAL CARE ELDERLY,87212(b)(c)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197609500,1/11/2019,1,11,2019,DEVONSHIRE ELDERLY CARE,17441 DEVONSHIRE STREET,NORTHRIDGE,91325,Los Angeles,CA,(310) 955-0674,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198202126,1/23/2019,1,23,2019,SOUTH CENTRAL RESIDENTIAL CARE NETWORK #2,1551 W. 80TH STREET,LOS ANGELES,90047,Los Angeles,CA,(323) 233-3553,740 - RESIDENTIAL CARE ELDERLY,87212(g),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197608176,1/27/2019,1,27,2019,LAURELWOOD VILLA,3034 DONA NENITA PLACE,STUDIO CITY,91604,Los Angeles,CA,(323) 574-9722,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002664,2/7/2019,2,7,2019,WHISPERING OAKS - RANCHGROVE,4531 RANCHGROVE DRIVE,IRVINE,92604,Orange,CA,(714) 931-1945,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(E),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200567,2/21/2019,2,21,2019,ANGEL WINGS CARE HOME III,5420 SAN MARTIN WAY,ANTIOCH,94531,Contra Costa,CA,(925) 392-8915,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601180,2/21/2019,2,21,2019,WELCOME HOME SENIOR RESIDENCE (WALNUT CREEK),2421 WASDEN COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 944-0204,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601489,2/21/2019,2,21,2019,DIABLO ASSISTED LIVING I,123 LOS CERROS AVENUE,WALNUT CREEK,94598,Contra Costa,CA,(925) 944-5363,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200290,2/22/2019,2,22,2019,"A PLACE FOR SENIORS, LLC",257 NORMANDY LANE,WALNUT CREEK,94598,Contra Costa,CA,(925) 516-6665,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374603102,3/12/2019,3,12,2019,CARE PLUS MANSION,2579 WINDMILL VIEW ROAD,EL CAJON,92020,San Diego,CA,(619) 749-1202,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002903,3/14/2019,3,14,2019,FAMILY VILLA HOME CARE,13122 WOODLAWN AVENUE,TUSTIN,92780,Orange,CA,(714) 730-7104,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(E),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306005214,3/25/2019,3,25,2019,OC SWIDLER GUEST HOME,362 N SWIDLER STREET,ORANGE,92869,Orange,CA,(949) 295-8218,740 - RESIDENTIAL CARE ELDERLY,87212(a-c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600459,4/8/2019,4,8,2019,NEW LIFE RESIDENCE,976 NORTON,SAN MATEO,94401,San Mateo,CA,(650) 579-1131,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601515,4/11/2019,4,11,2019,"SOPHIA'S HOUSE/OUR FAMILIES FOR SENIORS, INC.",2443 AARLES COURT,WALNUT CREEK,94598,Contra Costa,CA,(925) 954-7253,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198601681,4/12/2019,4,12,2019,ST ELIZABETH'S HOME FOR THE ELDERLY II,837 N SUNFLOWER AVENUE,COVINA,91724,Los Angeles,CA,(626) 966-1729,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374603838,4/12/2019,4,12,2019,ACORN OAKS MANOR II,6217 ACORN ST,SAN DIEGO,92115,San Diego,CA,(619) 265-8416,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374604029,4/15/2019,4,15,2019,HILLSIDE HAVEN GUEST HOME,9141 SPICE STREET,LA MESA,91941,San Diego,CA,(619) 741-3473,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198601680,4/19/2019,4,19,2019,ST ELIZABETH'S HOME FOR THE ELDERLY,257 N STEPHORA ST,COVINA,91724,Los Angeles,CA,(626) 498-0080,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
565801203,4/22/2019,4,22,2019,BF HOMES,1149 APPLETON ROAD,SIMI VALLEY,93065,Ventura,CA,(805) 583-4625,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600735,5/23/2019,5,23,2019,DOUBLE HAPPINESS CARE HOME,859 CAMARITAS CIRCLE,SOUTH SAN FRANCISCO,94080,San Mateo,CA,(650) 993-4018,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336413244,6/5/2019,6,5,2019,SLEEPY HOLLOW ELDERLY HOME CARE,7750 BOLERO DR,RIVERSIDE,92509,Riverside,CA,(951) 332-0171,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374603712,6/12/2019,6,12,2019,JOBETH HOME CARE,1989 WOODGLEN WAY,EL CAJON,92020,San Diego,CA,(619) 312-0706,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601393,6/13/2019,6,13,2019,MOUNT HELIX CARE HOME,10030 GRANDVIEW DR,LA MESA,91941,San Diego,CA,(619) 660-1244,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
19200670,6/13/2019,6,13,2019,ACAPULCO SENIOR CARE HOME,14160 ACAPULCO ROAD,SAN LEANDRO,94577,Alameda,CA,(408) 391-7559,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601693,6/17/2019,6,17,2019,PEPPERTREE GUEST HOME II,8950 JOHNSON DRIVE,LA MESA,91941,San Diego,CA,(619) 460-8155,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
405801226,6/21/2019,6,21,2019,JAJ RESIDENTIAL CARE FOR ELDERLY,517 LOS OSOS VALLEY ROAD,LOS OSOS,93402,San Luis Obispo,CA,(805) 528-7740,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601017,6/28/2019,6,28,2019,MISSION VILLA RESIDENTIAL CARE HOME,42423 PASEO PADRE PARKWAY,FREMONT,94539,Alameda,CA,(510) 656-0168,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
486803808,7/8/2019,7,8,2019,VALLEJO HILLS RTRMT COM-HAPPY LVNG BY COGIR/COGIR,350 LOCUST DRIVE,VALLEJO,94591,Solano,CA,(707) 266-6822,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(B),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004580,7/16/2019,7,16,2019,GENESIS SENIOR HOME II,13021 HEWES AVENUE,SANTA ANA,92705,Orange,CA,(714) 516-9116,740 - RESIDENTIAL CARE ELDERLY,87212(b)(c)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374600967,7/17/2019,7,17,2019,AIDA'S RESIDENTIAL CARE #2,433 AVOCADO AVE,EL CAJON,92020,San Diego,CA,(619) 440-7703,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601315,8/2/2019,8,2,2019,ISHERWOOD CARE III,1445 SKELTON AVENUE,FREMONT,94536,Alameda,CA,(510) 894-4571,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
425801769,8/10/2019,8,10,2019,PLEASANT CARE HOME,1315 SAPPHIRE DRIVE,SANTA MARIA,93454,Santa Barbara,CA,(805) 934-4896,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600242,8/10/2019,8,10,2019,CASA DEL CIELO,2071 TIMBERLANE WAY,SAN MATEO,94402,San Mateo,CA,(650) 357-0650,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197801049,8/29/2019,8,29,2019,LOVING CARE HOME,735 E. HANKS ST,AZUSA,91702,Los Angeles,CA,(626) 969-2411,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415201955,8/31/2019,8,31,2019,SENIORS WITH GRACE CARE HOME,167 ALAMEDA DE LAS PULGAS,REDWOOD CITY,94062,San Mateo,CA,(650) 369-5070,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200577,9/3/2019,9,3,2019,SANTA TERESA CARE HOME,10 SANTA TERESA CT,PITTSBURG,94565,Contra Costa,CA,(925) 261-9397,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601201,9/3/2019,9,3,2019,AMAZING HOME CARE,2245 SANTA MARIA DRIVE,PITTSBURG,94565,Contra Costa,CA,(925) 261-0380,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197609623,9/10/2019,9,10,2019,INN AT THE PARK VENTURA,21200 VENTURA BLVD,WOODLAND HILLS,91364,Los Angeles,CA,(818) 884-7100,740 - RESIDENTIAL CARE ELDERLY,87212(b),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002536,9/11/2019,9,11,2019,CARE OF HEART FOR ELDERLY IN ORANGE,3342 E. MAPLE AVENUE,ORANGE,92869,Orange,CA,(714) 633-4607,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(A-G),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15600392,9/20/2019,9,20,2019,MARY'S MANOR,3156 PUTTENHAM WAY,FREMONT,94536,Alameda,CA,(510) 565-1479,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366401304,10/4/2019,10,4,2019,MARIA VICTORIA'S HOME CARE -A,11523 PEMBROKE STREET,LOMA LINDA,92350,San Bernardino,CA,(909) 799-1537,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
347004960,10/10/2019,10,10,2019,EASTERN MANOR,2629 EASTERN AVENUE,SACRAMENTO,95821,Sacramento,CA,(916) 972-9668,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306005592,10/21/2019,10,21,2019,PRIMACARE HOME AT ROXBURY,4662 ROXBURY DR,IRVINE,92604,Orange,CA,(949) 278-3215,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600966,10/23/2019,10,23,2019,BETTER LIVING OF WALNUT CREEK,1868 DANIELLE CT,WALNUT CREEK,94598,Contra Costa,CA,(925) 938-8820,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306001798,12/23/2019,12,23,2019,PACIFIC SUN HOME CARE,25421 PACIFICA AVE.,MISSION VIEJO,92691,Orange,CA,(949) 457-3032,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
